,param_solver,param_C,param_fit_intercept,param_penalty,mean_test_score,std_test_score,variance
286,sag,17.833333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
135,saga,9.166666666666666,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
127,saga,7.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
126,sag,7.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
132,newton-cg,9.166666666666666,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
125,lbfgs,7.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
141,lbfgs,9.166666666666666,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
133,lbfgs,9.166666666666666,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
285,lbfgs,17.833333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
287,saga,17.833333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
157,lbfgs,9.166666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
158,sag,9.166666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
109,lbfgs,7.0,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
103,saga,7.0,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
319,saga,20.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
191,saga,11.333333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
159,saga,9.166666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
173,lbfgs,11.333333333333332,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
263,saga,17.833333333333332,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
262,sag,17.833333333333332,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
261,lbfgs,17.833333333333332,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
260,newton-cg,17.833333333333332,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
255,saga,15.666666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
254,sag,15.666666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
253,lbfgs,15.666666666666666,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
237,lbfgs,15.666666666666666,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
223,saga,13.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
222,sag,13.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
221,lbfgs,13.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
205,lbfgs,13.5,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
101,lbfgs,7.0,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
190,sag,11.333333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
189,lbfgs,11.333333333333332,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
102,sag,7.0,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
134,sag,9.166666666666666,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
100,newton-cg,7.0,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
77,lbfgs,4.833333333333333,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
70,sag,4.833333333333333,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
69,lbfgs,4.833333333333333,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
68,newton-cg,4.833333333333333,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
293,lbfgs,20.0,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
63,saga,2.6666666666666665,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
62,sag,2.6666666666666665,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
61,lbfgs,2.6666666666666665,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
294,sag,20.0,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
295,saga,20.0,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
301,lbfgs,20.0,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
45,lbfgs,2.6666666666666665,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
31,saga,0.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
30,sag,0.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
29,lbfgs,0.5,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
13,lbfgs,0.5,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
317,lbfgs,20.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
318,sag,20.0,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
71,saga,4.833333333333333,False,l2,0.9823529411764707,0.03529411764705883,0.0012456747404844294
269,lbfgs,17.833333333333332,False,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
95,saga,4.833333333333333,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
292,newton-cg,20.0,False,l2,0.9823529411764707,0.02352941176470589,0.0005536332179930798
93,lbfgs,4.833333333333333,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
94,sag,4.833333333333333,True,none,0.9823529411764707,0.02352941176470589,0.0005536332179930798
140,newton-cg,9.166666666666666,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
28,newton-cg,0.5,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
44,newton-cg,2.6666666666666665,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
204,newton-cg,13.5,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
142,sag,9.166666666666666,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
206,sag,13.5,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
38,sag,2.6666666666666665,False,l2,0.9764705882352942,0.03429971702850178,0.0011764705882352949
277,lbfgs,17.833333333333332,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
220,newton-cg,13.5,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
37,lbfgs,2.6666666666666665,False,l2,0.9764705882352942,0.03429971702850178,0.0011764705882352949
36,newton-cg,2.6666666666666665,False,l2,0.9764705882352942,0.03429971702850178,0.0011764705882352949
276,newton-cg,17.833333333333332,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
308,newton-cg,20.0,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
236,newton-cg,15.666666666666666,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
302,sag,20.0,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
238,sag,15.666666666666666,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
309,lbfgs,20.0,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
252,newton-cg,15.666666666666666,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
310,sag,20.0,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
311,saga,20.0,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
14,sag,0.5,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
110,sag,7.0,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
12,newton-cg,0.5,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
316,newton-cg,20.0,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
108,newton-cg,7.0,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
268,newton-cg,17.833333333333332,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
46,sag,2.6666666666666665,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
39,saga,2.6666666666666665,False,l2,0.9764705882352942,0.03429971702850178,0.0011764705882352949
278,sag,17.833333333333332,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
279,saga,17.833333333333332,True,l2,0.9764705882352942,0.022009749333964365,0.0004844290657439448
76,newton-cg,4.833333333333333,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
78,sag,4.833333333333333,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
156,newton-cg,9.166666666666666,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
270,sag,17.833333333333332,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
284,newton-cg,17.833333333333332,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
92,newton-cg,4.833333333333333,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
172,newton-cg,11.333333333333332,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
60,newton-cg,2.6666666666666665,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
174,sag,11.333333333333332,False,none,0.9764705882352942,0.03429971702850178,0.0011764705882352949
124,newton-cg,7.0,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
188,newton-cg,11.333333333333332,True,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
300,newton-cg,20.0,False,none,0.9764705882352942,0.022009749333964365,0.0004844290657439448
180,newton-cg,11.333333333333332,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
181,lbfgs,11.333333333333332,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
118,sag,7.0,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
148,newton-cg,9.166666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
149,lbfgs,9.166666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
150,sag,9.166666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
151,saga,9.166666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
119,saga,7.0,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
84,newton-cg,4.833333333333333,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
183,saga,11.333333333333332,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
247,saga,15.666666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
246,sag,15.666666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
245,lbfgs,15.666666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
244,newton-cg,15.666666666666666,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
85,lbfgs,4.833333333333333,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
86,sag,4.833333333333333,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
87,saga,4.833333333333333,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
182,sag,11.333333333333332,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
117,lbfgs,7.0,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
212,newton-cg,13.5,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
213,lbfgs,13.5,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
214,sag,13.5,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
215,saga,13.5,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
116,newton-cg,7.0,True,l2,0.9705882352941178,0.032218973970892135,0.001038062283737025
275,saga,17.833333333333332,True,l1,0.9705882352941175,0.02630668208823283,0.0006920415224913499
307,saga,20.0,True,l1,0.9705882352941175,0.02630668208823283,0.0006920415224913499
291,saga,20.0,False,l1,0.9588235294117646,0.02352941176470589,0.0005536332179930798
163,saga,11.333333333333332,False,l1,0.9588235294117646,0.02352941176470589,0.0005536332179930798
259,saga,17.833333333333332,False,l1,0.9588235294117646,0.02352941176470589,0.0005536332179930798
55,saga,2.6666666666666665,True,l2,0.9588235294117646,0.02352941176470589,0.0005536332179930798
52,newton-cg,2.6666666666666665,True,l2,0.9588235294117646,0.02352941176470589,0.0005536332179930798
53,lbfgs,2.6666666666666665,True,l2,0.9588235294117646,0.02352941176470589,0.0005536332179930798
54,sag,2.6666666666666665,True,l2,0.9588235294117646,0.02352941176470589,0.0005536332179930798
227,saga,15.666666666666666,False,l1,0.9588235294117646,0.02352941176470589,0.0005536332179930798
195,saga,13.5,False,l1,0.9588235294117646,0.02352941176470589,0.0005536332179930798
99,saga,7.0,False,l1,0.9529411764705882,0.02352941176470589,0.0005536332179930798
211,saga,13.5,True,l1,0.9529411764705882,0.029994232432898744,0.0008996539792387549
243,saga,15.666666666666666,True,l1,0.9529411764705882,0.029994232432898744,0.0008996539792387549
179,saga,11.333333333333332,True,l1,0.9529411764705882,0.029994232432898744,0.0008996539792387549
131,saga,9.166666666666666,False,l1,0.9529411764705882,0.02352941176470589,0.0005536332179930798
147,saga,9.166666666666666,True,l1,0.9529411764705882,0.029994232432898744,0.0008996539792387549
83,saga,4.833333333333333,True,l1,0.9470588235294117,0.028817526385684456,0.0008304498269896198
115,saga,7.0,True,l1,0.9470588235294117,0.028817526385684456,0.0008304498269896198
67,saga,4.833333333333333,False,l1,0.9470588235294117,0.028817526385684456,0.0008304498269896198
35,saga,2.6666666666666665,False,l1,0.9411764705882353,0.032218973970892135,0.001038062283737025
51,saga,2.6666666666666665,True,l1,0.9352941176470588,0.022009749333964365,0.0004844290657439448
7,saga,0.5,False,l2,0.9117647058823529,0.026306682088232825,0.0006920415224913498
4,newton-cg,0.5,False,l2,0.9117647058823529,0.026306682088232825,0.0006920415224913498
5,lbfgs,0.5,False,l2,0.9117647058823529,0.026306682088232825,0.0006920415224913498
6,sag,0.5,False,l2,0.9117647058823529,0.026306682088232825,0.0006920415224913498
23,saga,0.5,True,l2,0.8705882352941178,0.014408763192842226,0.0002076124567474049
20,newton-cg,0.5,True,l2,0.8705882352941178,0.014408763192842226,0.0002076124567474049
21,lbfgs,0.5,True,l2,0.8705882352941178,0.014408763192842226,0.0002076124567474049
22,sag,0.5,True,l2,0.8705882352941178,0.014408763192842226,0.0002076124567474049
3,saga,0.5,False,l1,0.776470588235294,0.05763505277136888,0.0033217993079584754
19,saga,0.5,True,l1,0.6470588235294118,0.04556450995538139,0.0020761245674740495
0,newton-cg,0.5,False,l1,,,
1,lbfgs,0.5,False,l1,,,
2,sag,0.5,False,l1,,,
8,newton-cg,0.5,False,elasticnet,,,
9,lbfgs,0.5,False,elasticnet,,,
10,sag,0.5,False,elasticnet,,,
11,saga,0.5,False,elasticnet,,,
16,newton-cg,0.5,True,l1,,,
17,lbfgs,0.5,True,l1,,,
18,sag,0.5,True,l1,,,
24,newton-cg,0.5,True,elasticnet,,,
25,lbfgs,0.5,True,elasticnet,,,
26,sag,0.5,True,elasticnet,,,
27,saga,0.5,True,elasticnet,,,
32,newton-cg,2.6666666666666665,False,l1,,,
33,lbfgs,2.6666666666666665,False,l1,,,
34,sag,2.6666666666666665,False,l1,,,
40,newton-cg,2.6666666666666665,False,elasticnet,,,
41,lbfgs,2.6666666666666665,False,elasticnet,,,
42,sag,2.6666666666666665,False,elasticnet,,,
43,saga,2.6666666666666665,False,elasticnet,,,
48,newton-cg,2.6666666666666665,True,l1,,,
49,lbfgs,2.6666666666666665,True,l1,,,
50,sag,2.6666666666666665,True,l1,,,
56,newton-cg,2.6666666666666665,True,elasticnet,,,
57,lbfgs,2.6666666666666665,True,elasticnet,,,
58,sag,2.6666666666666665,True,elasticnet,,,
59,saga,2.6666666666666665,True,elasticnet,,,
64,newton-cg,4.833333333333333,False,l1,,,
65,lbfgs,4.833333333333333,False,l1,,,
66,sag,4.833333333333333,False,l1,,,
72,newton-cg,4.833333333333333,False,elasticnet,,,
73,lbfgs,4.833333333333333,False,elasticnet,,,
74,sag,4.833333333333333,False,elasticnet,,,
75,saga,4.833333333333333,False,elasticnet,,,
80,newton-cg,4.833333333333333,True,l1,,,
81,lbfgs,4.833333333333333,True,l1,,,
82,sag,4.833333333333333,True,l1,,,
88,newton-cg,4.833333333333333,True,elasticnet,,,
89,lbfgs,4.833333333333333,True,elasticnet,,,
90,sag,4.833333333333333,True,elasticnet,,,
91,saga,4.833333333333333,True,elasticnet,,,
96,newton-cg,7.0,False,l1,,,
97,lbfgs,7.0,False,l1,,,
98,sag,7.0,False,l1,,,
104,newton-cg,7.0,False,elasticnet,,,
105,lbfgs,7.0,False,elasticnet,,,
106,sag,7.0,False,elasticnet,,,
107,saga,7.0,False,elasticnet,,,
112,newton-cg,7.0,True,l1,,,
113,lbfgs,7.0,True,l1,,,
114,sag,7.0,True,l1,,,
120,newton-cg,7.0,True,elasticnet,,,
121,lbfgs,7.0,True,elasticnet,,,
122,sag,7.0,True,elasticnet,,,
123,saga,7.0,True,elasticnet,,,
128,newton-cg,9.166666666666666,False,l1,,,
129,lbfgs,9.166666666666666,False,l1,,,
130,sag,9.166666666666666,False,l1,,,
136,newton-cg,9.166666666666666,False,elasticnet,,,
137,lbfgs,9.166666666666666,False,elasticnet,,,
138,sag,9.166666666666666,False,elasticnet,,,
139,saga,9.166666666666666,False,elasticnet,,,
144,newton-cg,9.166666666666666,True,l1,,,
145,lbfgs,9.166666666666666,True,l1,,,
146,sag,9.166666666666666,True,l1,,,
152,newton-cg,9.166666666666666,True,elasticnet,,,
153,lbfgs,9.166666666666666,True,elasticnet,,,
154,sag,9.166666666666666,True,elasticnet,,,
155,saga,9.166666666666666,True,elasticnet,,,
160,newton-cg,11.333333333333332,False,l1,,,
161,lbfgs,11.333333333333332,False,l1,,,
162,sag,11.333333333333332,False,l1,,,
168,newton-cg,11.333333333333332,False,elasticnet,,,
169,lbfgs,11.333333333333332,False,elasticnet,,,
170,sag,11.333333333333332,False,elasticnet,,,
171,saga,11.333333333333332,False,elasticnet,,,
176,newton-cg,11.333333333333332,True,l1,,,
177,lbfgs,11.333333333333332,True,l1,,,
178,sag,11.333333333333332,True,l1,,,
184,newton-cg,11.333333333333332,True,elasticnet,,,
185,lbfgs,11.333333333333332,True,elasticnet,,,
186,sag,11.333333333333332,True,elasticnet,,,
187,saga,11.333333333333332,True,elasticnet,,,
192,newton-cg,13.5,False,l1,,,
193,lbfgs,13.5,False,l1,,,
194,sag,13.5,False,l1,,,
200,newton-cg,13.5,False,elasticnet,,,
201,lbfgs,13.5,False,elasticnet,,,
202,sag,13.5,False,elasticnet,,,
203,saga,13.5,False,elasticnet,,,
208,newton-cg,13.5,True,l1,,,
209,lbfgs,13.5,True,l1,,,
210,sag,13.5,True,l1,,,
216,newton-cg,13.5,True,elasticnet,,,
217,lbfgs,13.5,True,elasticnet,,,
218,sag,13.5,True,elasticnet,,,
219,saga,13.5,True,elasticnet,,,
224,newton-cg,15.666666666666666,False,l1,,,
225,lbfgs,15.666666666666666,False,l1,,,
226,sag,15.666666666666666,False,l1,,,
232,newton-cg,15.666666666666666,False,elasticnet,,,
233,lbfgs,15.666666666666666,False,elasticnet,,,
234,sag,15.666666666666666,False,elasticnet,,,
235,saga,15.666666666666666,False,elasticnet,,,
240,newton-cg,15.666666666666666,True,l1,,,
241,lbfgs,15.666666666666666,True,l1,,,
242,sag,15.666666666666666,True,l1,,,
248,newton-cg,15.666666666666666,True,elasticnet,,,
249,lbfgs,15.666666666666666,True,elasticnet,,,
250,sag,15.666666666666666,True,elasticnet,,,
251,saga,15.666666666666666,True,elasticnet,,,
256,newton-cg,17.833333333333332,False,l1,,,
257,lbfgs,17.833333333333332,False,l1,,,
258,sag,17.833333333333332,False,l1,,,
264,newton-cg,17.833333333333332,False,elasticnet,,,
265,lbfgs,17.833333333333332,False,elasticnet,,,
266,sag,17.833333333333332,False,elasticnet,,,
267,saga,17.833333333333332,False,elasticnet,,,
272,newton-cg,17.833333333333332,True,l1,,,
273,lbfgs,17.833333333333332,True,l1,,,
274,sag,17.833333333333332,True,l1,,,
280,newton-cg,17.833333333333332,True,elasticnet,,,
281,lbfgs,17.833333333333332,True,elasticnet,,,
282,sag,17.833333333333332,True,elasticnet,,,
283,saga,17.833333333333332,True,elasticnet,,,
288,newton-cg,20.0,False,l1,,,
289,lbfgs,20.0,False,l1,,,
290,sag,20.0,False,l1,,,
296,newton-cg,20.0,False,elasticnet,,,
297,lbfgs,20.0,False,elasticnet,,,
298,sag,20.0,False,elasticnet,,,
299,saga,20.0,False,elasticnet,,,
304,newton-cg,20.0,True,l1,,,
305,lbfgs,20.0,True,l1,,,
306,sag,20.0,True,l1,,,
312,newton-cg,20.0,True,elasticnet,,,
313,lbfgs,20.0,True,elasticnet,,,
314,sag,20.0,True,elasticnet,,,
315,saga,20.0,True,elasticnet,,,
