,param_C,param_kernel,param_gamma,param_shrinking,param_break_ties,param_decision_function_shape,mean_test_score,std_test_score,variance
294,4.722222222222222,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
539,8.944444444444445,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
538,8.944444444444445,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
178,2.611111111111111,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
179,2.611111111111111,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
291,4.722222222222222,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
163,2.611111111111111,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
299,4.722222222222222,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
298,4.722222222222222,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
467,7.888888888888889,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
563,8.944444444444445,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
562,8.944444444444445,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
307,4.722222222222222,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
306,4.722222222222222,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
146,2.611111111111111,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
147,2.611111111111111,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
466,7.888888888888889,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
150,2.611111111111111,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
182,2.611111111111111,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
151,2.611111111111111,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
555,8.944444444444445,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
554,8.944444444444445,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
154,2.611111111111111,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
155,2.611111111111111,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
551,8.944444444444445,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
550,8.944444444444445,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
290,4.722222222222222,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
183,2.611111111111111,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
122,1.5555555555555556,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
535,8.944444444444445,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
502,7.888888888888889,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
226,3.666666666666667,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
227,3.666666666666667,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
275,4.722222222222222,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
274,4.722222222222222,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
230,3.666666666666667,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
231,3.666666666666667,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
234,3.666666666666667,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
235,3.666666666666667,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
499,7.888888888888889,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
498,7.888888888888889,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
486,7.888888888888889,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
487,7.888888888888889,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
251,3.666666666666667,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
250,3.666666666666667,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
242,3.666666666666667,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
243,3.666666666666667,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
490,7.888888888888889,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
491,7.888888888888889,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
503,7.888888888888889,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
506,7.888888888888889,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
507,7.888888888888889,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
282,4.722222222222222,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
534,8.944444444444445,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
186,2.611111111111111,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
187,2.611111111111111,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
474,7.888888888888889,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
475,7.888888888888889,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
531,8.944444444444445,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
530,8.944444444444445,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
283,4.722222222222222,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
210,3.666666666666667,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
219,3.666666666666667,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
406,6.833333333333334,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
482,7.888888888888889,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
483,7.888888888888889,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
214,3.666666666666667,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
215,3.666666666666667,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
279,4.722222222222222,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
278,4.722222222222222,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
218,3.666666666666667,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
247,3.666666666666667,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
123,1.5555555555555556,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
310,4.722222222222222,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
422,6.833333333333334,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
619,10.0,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
618,10.0,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
615,10.0,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
614,10.0,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
362,5.777777777777778,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
423,6.833333333333334,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
426,6.833333333333334,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
359,5.777777777777778,sigmoid,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
358,5.777777777777778,sigmoid,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
355,5.777777777777778,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
611,10.0,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
610,10.0,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
354,5.777777777777778,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
311,4.722222222222222,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
434,6.833333333333334,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
347,5.777777777777778,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
603,10.0,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
363,5.777777777777778,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
419,6.833333333333334,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
346,5.777777777777778,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
370,5.777777777777778,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
403,6.833333333333334,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
402,6.833333333333334,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
407,6.833333333333334,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
410,6.833333333333334,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
411,6.833333333333334,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
635,10.0,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
634,10.0,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
379,5.777777777777778,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
378,5.777777777777778,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
631,10.0,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
630,10.0,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
418,6.833333333333334,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
375,5.777777777777778,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
627,10.0,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
626,10.0,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
374,5.777777777777778,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
371,5.777777777777778,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
602,10.0,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
427,6.833333333333334,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
435,6.833333333333334,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
339,5.777777777777778,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
99,1.5555555555555556,linear,scale,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
438,6.833333333333334,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
439,6.833333333333334,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
106,1.5555555555555556,linear,auto,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
107,1.5555555555555556,linear,auto,False,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
571,8.944444444444445,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
570,8.944444444444445,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
567,8.944444444444445,sigmoid,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
566,8.944444444444445,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
442,6.833333333333334,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
443,6.833333333333334,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
114,1.5555555555555556,linear,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
115,1.5555555555555556,linear,scale,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
315,4.722222222222222,linear,auto,False,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
314,4.722222222222222,linear,auto,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
98,1.5555555555555556,linear,scale,True,False,ovo,0.9764705882352942,0.022009749333964365,0.0004844290657439448
338,5.777777777777778,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
90,1.5555555555555556,linear,auto,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
595,10.0,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
82,1.5555555555555556,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
83,1.5555555555555556,linear,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
343,5.777777777777778,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
599,10.0,sigmoid,scale,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
598,10.0,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
594,10.0,linear,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
91,1.5555555555555556,linear,auto,False,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
342,5.777777777777778,sigmoid,scale,True,True,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
246,3.666666666666667,sigmoid,scale,True,False,ovr,0.9764705882352942,0.022009749333964365,0.0004844290657439448
373,5.777777777777778,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
468,7.888888888888889,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
404,6.833333333333334,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
293,4.722222222222222,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
469,7.888888888888889,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
309,4.722222222222222,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
308,4.722222222222222,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
421,6.833333333333334,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
436,6.833333333333334,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
420,6.833333333333334,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
292,4.722222222222222,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
276,4.722222222222222,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
356,5.777777777777778,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
357,5.777777777777778,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
485,7.888888888888889,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
484,7.888888888888889,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
437,6.833333333333334,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
372,5.777777777777778,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
277,4.722222222222222,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
341,5.777777777777778,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
340,5.777777777777778,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
405,6.833333333333334,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
245,3.666666666666667,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
165,2.611111111111111,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
628,10.0,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
612,10.0,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
533,8.944444444444445,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
181,2.611111111111111,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
180,2.611111111111111,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
100,1.5555555555555556,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
597,10.0,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
164,2.611111111111111,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
85,1.5555555555555556,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
596,10.0,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
565,8.944444444444445,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
548,8.944444444444445,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
549,8.944444444444445,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
149,2.611111111111111,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
148,2.611111111111111,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
564,8.944444444444445,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
629,10.0,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
532,8.944444444444445,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
229,3.666666666666667,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
116,1.5555555555555556,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
101,1.5555555555555556,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
500,7.888888888888889,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
501,7.888888888888889,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
244,3.666666666666667,rbf,scale,True,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
212,3.666666666666667,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
228,3.666666666666667,rbf,scale,True,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
613,10.0,rbf,scale,False,False,ovo,0.9647058823529413,0.028817526385684456,0.0008304498269896198
117,1.5555555555555556,rbf,scale,False,False,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
84,1.5555555555555556,rbf,scale,True,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
213,3.666666666666667,rbf,scale,False,True,ovr,0.9647058823529413,0.028817526385684456,0.0008304498269896198
51,0.5,linear,scale,False,False,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
50,0.5,linear,scale,True,False,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
35,0.5,linear,scale,False,False,ovo,0.9176470588235294,0.03429971702850178,0.0011764705882352949
34,0.5,linear,scale,True,False,ovo,0.9176470588235294,0.03429971702850178,0.0011764705882352949
26,0.5,linear,auto,True,True,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
59,0.5,linear,auto,False,False,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
19,0.5,linear,scale,False,True,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
18,0.5,linear,scale,True,True,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
58,0.5,linear,auto,True,False,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
42,0.5,linear,auto,True,False,ovo,0.9176470588235294,0.03429971702850178,0.0011764705882352949
43,0.5,linear,auto,False,False,ovo,0.9176470588235294,0.03429971702850178,0.0011764705882352949
27,0.5,linear,auto,False,True,ovr,0.9176470588235294,0.03429971702850178,0.0011764705882352949
54,0.5,sigmoid,scale,True,False,ovr,0.8941176470588236,0.02352941176470589,0.0005536332179930798
55,0.5,sigmoid,scale,False,False,ovr,0.8941176470588236,0.02352941176470589,0.0005536332179930798
39,0.5,sigmoid,scale,False,False,ovo,0.8941176470588236,0.02352941176470589,0.0005536332179930798
38,0.5,sigmoid,scale,True,False,ovo,0.8941176470588236,0.02352941176470589,0.0005536332179930798
23,0.5,sigmoid,scale,False,True,ovr,0.8941176470588236,0.02352941176470589,0.0005536332179930798
22,0.5,sigmoid,scale,True,True,ovr,0.8941176470588236,0.02352941176470589,0.0005536332179930798
36,0.5,rbf,scale,True,False,ovo,0.8764705882352942,0.011764705882352944,0.00013840830449826996
52,0.5,rbf,scale,True,False,ovr,0.8764705882352942,0.011764705882352944,0.00013840830449826996
53,0.5,rbf,scale,False,False,ovr,0.8764705882352942,0.011764705882352944,0.00013840830449826996
21,0.5,rbf,scale,False,True,ovr,0.8764705882352942,0.011764705882352944,0.00013840830449826996
20,0.5,rbf,scale,True,True,ovr,0.8764705882352942,0.011764705882352944,0.00013840830449826996
37,0.5,rbf,scale,False,False,ovo,0.8764705882352942,0.011764705882352944,0.00013840830449826996
353,5.777777777777778,poly,scale,False,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
352,5.777777777777778,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
368,5.777777777777778,poly,scale,True,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
624,10.0,poly,scale,True,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
625,10.0,poly,scale,False,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
433,6.833333333333334,poly,scale,False,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
369,5.777777777777778,poly,scale,False,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
417,6.833333333333334,poly,scale,False,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
416,6.833333333333334,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
400,6.833333333333334,poly,scale,True,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
401,6.833333333333334,poly,scale,False,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
432,6.833333333333334,poly,scale,True,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
593,10.0,poly,scale,False,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
609,10.0,poly,scale,False,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
544,8.944444444444445,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
177,2.611111111111111,poly,scale,False,False,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
289,4.722222222222222,poly,scale,False,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
288,4.722222222222222,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
480,7.888888888888889,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
481,7.888888888888889,poly,scale,False,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
208,3.666666666666667,poly,scale,True,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
209,3.666666666666667,poly,scale,False,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
529,8.944444444444445,poly,scale,False,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
528,8.944444444444445,poly,scale,True,True,ovr,0.8176470588235294,0.06809315825170718,0.0046366782006920385
224,3.666666666666667,poly,scale,True,False,ovo,0.8176470588235294,0.06809315825170718,0.0046366782006920385
